tmdb_id,imdb_id,name,country,origin_country,year,first_air_date,original_language,averageRating,numVotes,weighted_rating,vote_average_tmdb,vote_count_tmdb,popularity
131378,tt15248880,Adventure Time: Fionna and Cake,US,US,2023,2023-08-31,en,8.6,12061,8.542502595981299,8.644,329,21.7208
94810,tt11165358,Adventure Time: Distant Lands,US,US,2020,2020-06-25,en,8.6,10415,8.533831892635924,8.161,547,6.0043
615,tt0149460,Futurama,US,US,1999,1999-03-28,en,8.5,278751,8.497592757440872,8.369,3749,44.2726
4194,tt0458290,Star Wars: The Clone Wars,US,US,2008,2008-10-03,en,8.5,145459,8.495394426572675,8.471,2352,41.289
2723,tt0278238,Samurai Jack,US,US,2001,2001-08-10,en,8.5,66712,8.489998439387625,8.4,892,19.4951
1618,tt0275137,Justice League,US,US,2001,2001-11-17,en,8.5,57204,8.488350462846961,8.2,596,8.7173
256695,tt32604054,Regular Show: The Lost Tapes,US,US,2026,2026-05-11,en,9.0,1294,8.485939302185672,9.7,93,17.0269
2604,tt0373732,The Boondocks,US,US,2005,2005-11-06,en,8.5,42080,8.484212661064376,8.22,447,17.8298
126506,tt12074628,Smiling Friends,US,US,2020,2020-04-01,en,8.5,30866,8.478568357716034,8.544,431,12.3498
195339,tt11680642,Pantheon,US,US,2022,2022-09-01,en,8.5,22474,8.470739753988035,8.107,257,8.6828
228878,tt28093628,Common Side Effects,US,US,2025,2025-02-02,en,8.5,20478,8.467955720665511,8.429,296,7.6611
86831,tt9561862,"Love, Death & Robots",US,US,2019,2019-03-15,en,8.4,229986,8.397300378800105,8.209,4013,27.2024
135934,tt11247158,The Legend of Vox Machina,US,US,2022,2022-01-27,en,8.4,54350,8.388655881643047,8.2,646,37.8772
4574,tt0103584,X-Men,US,US,1992,1992-10-31,en,8.4,54117,8.388607486828665,8.17,1350,15.1872
74440,tt7658402,Harley Quinn,US,US,2019,2019-11-29,en,8.4,43323,8.385801408121788,8.303,1153,22.0976
888,tt0112175,Spider-Man,US,US,1994,1994-11-19,en,8.4,39289,8.384361886655133,8.3,1136,20.0968
3793,tt0235923,Invader ZIM,US,US,2001,2001-03-30,en,8.4,23938,8.374538632789964,8.515,460,7.1084
3854,tt0976192,The Spectacular Spider-Man,US,US,2008,2008-03-08,en,8.4,23173,8.37371584117438,8.624,906,10.2696
68267,tt1734135,Trollhunters: Tales of Arcadia,US,US,2016,2016-12-23,en,8.4,22173,8.372556569846122,8.5,1147,13.9587
4625,tt0118266,The New Batman Adventures,US,US,1997,1997-09-13,en,8.4,21208,8.371336608997655,8.049,397,11.749
35305,tt1553644,The Ricky Gervais Show,US,US,2010,2010-02-19,en,8.4,17705,8.365821208905306,7.203,118,2.6226
2192,tt0088595,Robotech,US,US,1985,1985-03-04,en,8.5,4318,8.360476361170837,8.567,374,4.681
219080,tt26453092,The Mighty Nein,US,US,2025,2025-11-19,en,8.4,13316,8.354963456001817,8.042,108,7.4428
91425,tt8146754,Infinity Train,US,US,2019,2019-08-05,en,8.4,11145,8.34656720550632,8.423,312,9.1466
18096,tt1322240,Watchmen: Motion Comic,US,US,2008,2008-07-17,en,8.5,3825,8.344572279334358,7.7,58,1.2746
39373,tt0401747,Red vs. Blue,US,US,2003,2003-04-01,en,8.4,10023,8.340870009324442,7.488,81,13.9934
33880,tt1695360,The Legend of Korra,US,US,2012,2012-04-14,en,8.3,151484,8.296234966234087,8.215,2330,26.0151
71024,tt6517102,Castlevania,US,US,2017,2017-07-07,en,8.3,95042,8.294010750330967,8.262,1555,10.0223
2085,tt0220880,Courage the Cowardly Dog,US,US,1999,1999-11-12,en,8.3,57585,8.290148491144377,8.206,1638,21.2587
590,tt0126173,SWAT Kats: The Radical Squadron,US,US,1993,1993-09-11,en,8.4,5156,8.289988526895526,8.0,116,5.2495
203489,tt20859904,Mike Judge's Beavis and Butt-Head,US,US,2022,2022-08-04,en,8.4,4673,8.27971681966385,7.887,93,8.5121
73610,tt7212136,Mike Judge Presents: Tales from the Tour Bus,US,US,2017,2017-09-22,en,8.6,1723,8.275112509276246,7.3,30,1.7654
653,tt0839188,Metalocalypse,US,US,2006,2006-08-06,en,8.3,19142,8.270867279712917,7.588,217,7.7657
33623,tt1626038,The Avengers: Earth's Mightiest Heroes,US,US,2010,2010-10-20,en,8.3,18093,8.269223638365037,8.206,771,11.955
72350,tt5531466,DuckTales,US,US,2017,2017-08-12,en,8.3,14239,8.26117613868791,7.8,311,20.9639
16953,tt0275849,Mad Jack the Pirate,US,US,1998,1998-09-12,en,8.5,2285,8.258626609738275,7.8,25,3.102
85349,tt8050740,Amphibia,US,US,2019,2019-06-17,en,8.3,11802,8.253485214446522,8.585,346,17.5609
4251,tt0112047,Life with Louie,US,US,1994,1994-12-24,en,8.3,8830,8.23866828597225,6.906,85,4.9384
95599,tt10482560,Kipo and the Age of Wonderbeasts,US,US,2020,2020-01-14,en,8.3,8672,8.237611764949968,8.232,233,6.3562
5921,tt0950701,The Life & Times of Tim,US,US,2008,2008-09-28,en,8.3,7263,8.22628817572087,7.4,42,4.703
13889,tt0129712,Saber Rider and the Star Sheriffs,US,US,1987,1987-09-14,en,8.4,2751,8.208605077859458,8.09,50,8.3815
387,tt0206512,SpongeBob SquarePants,US,US,1999,1999-05-01,en,8.2,126037,8.195872947107336,7.707,3211,12.6746
32726,tt1561755,Bob's Burgers,US,US,2011,2011-01-09,en,8.2,102648,8.194937130221827,7.8,1088,49.7307
74387,tt6317068,Final Space,US,"US,CA",2018,2018-02-26,en,8.2,51318,8.189921940409144,8.373,957,6.4624
